nom_dept;nom_com;insee_com;nom_station;code_station (ue);influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;x_wgs84;y_wgs84;x_reglementaire;y_reglementaire
Vendée;La Tardière;85289;LA TARDIERE;FR23124;background;NO2;8;7.8;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.7433812921256286;46.65662489362803;413852.8420801177;6624178.2980740825
Vendée;La Tardière;85289;LA TARDIERE;FR23124;background;NO;38;0.68;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.7433812921256286;46.65662489362803;413852.8420801177;6624178.2980740825
Vendée;La Tardière;85289;LA TARDIERE;FR23124;background;NOx;9;8.8;µg/m3 eq NO2;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.7433812921256286;46.65662489362803;413852.8420801177;6624178.2980740825
Vendée;La Tardière;85289;LA TARDIERE;FR23124;background;O3;7;49.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.7433812921256286;46.65662489362803;413852.8420801177;6624178.2980740825
Vendée;La Tardière;85289;LA TARDIERE;FR23124;background;PM10;5;17.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.7433812921256286;46.65662489362803;413852.8420801177;6624178.2980740825
Vendée;La Tardière;85289;LA TARDIERE;FR23124;background;PM2.5;6001;12.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.7433812921256286;46.65662489362803;413852.8420801177;6624178.2980740825
Loire-Atlantique;Paimbœuf;44116;CUTULLIC2;FR23149;industrial;SO2;1;0.25;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-2.0324417113714177;47.28616795300179;319885.62629199366;6699433.757790069
Maine-et-Loire;Angers;49007;APPENTIS;FR23150;background;NO2;8;23.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.5501000222079123;47.447336007801624;432564.4583844049;6711233.097282906
Maine-et-Loire;Angers;49007;APPENTIS;FR23150;background;NO;38;1.1;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.5501000222079123;47.447336007801624;432564.4583844049;6711233.097282906
Maine-et-Loire;Angers;49007;APPENTIS;FR23150;background;NOx;9;24.0;µg/m3 eq NO2;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.5501000222079123;47.447336007801624;432564.4583844049;6711233.097282906
Maine-et-Loire;Angers;49007;APPENTIS;FR23150;background;O3;7;34.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-0.5501000222079123;47.447336007801624;432564.4583844049;6711233.097282906
Vendée;La Roche-Sur-Yon;85191;DELACROIX;FR23152;background;NO2;8;16.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.4368610961896655;46.66064836113053;360919.2021133019;6627370.063373093
Vendée;La Roche-Sur-Yon;85191;DELACROIX;FR23152;background;NO;38;1.6;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.4368610961896655;46.66064836113053;360919.2021133019;6627370.063373093
Vendée;La Roche-Sur-Yon;85191;DELACROIX;FR23152;background;NOx;9;18.0;µg/m3 eq NO2;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.4368610961896655;46.66064836113053;360919.2021133019;6627370.063373093
Vendée;La Roche-Sur-Yon;85191;DELACROIX;FR23152;background;O3;7;40.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.4368610961896655;46.66064836113053;360919.2021133019;6627370.063373093
Vendée;La Roche-Sur-Yon;85191;DELACROIX;FR23152;background;PM10;5;16.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.4368610961896655;46.66064836113053;360919.2021133019;6627370.063373093
Vendée;La Roche-Sur-Yon;85191;DELACROIX;FR23152;background;PM2.5;6001;13.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.4368610961896655;46.66064836113053;360919.2021133019;6627370.063373093
Loire-Atlantique;Bouaye;44018;EPINETTES;FR23157;background;O3;7;43.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;-1.6902690000000005;47.14608799999988;344775.68549371266;6682310.180873801
Sarthe;Spay;72344;FILLE;FR23163;background;O3;7;1.3;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;0.1518948064395943;47.92192248604607;487322.6743667995;6761783.716825325
Sarthe;Le Mans;72181;GUEDOU;FR23174;background;NO2;8;45.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;0.19605011554765286;47.98894827304624;490882.9153232856;6769108.857118812
Sarthe;Le Mans;72181;GUEDOU;FR23174;background;NO;38;36.0;µg/m3;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;0.19605011554765286;47.98894827304624;490882.9153232856;6769108.857118812
Sarthe;Le Mans;72181;GUEDOU;FR23174;background;NOx;9;101.0;µg/m3 eq NO2;horaire;2022-12-16 22:00:00;2022-12-16 23:00:00;True;0.19605011554765286;47.98894827304624;490882.9153232856;6769108.857118812
